CustomerID,Age,Gender,Tenure,AverageTransactionValue,PurchaseFrequency,LastPurchaseDaysAgo,TotalVisits,MembershipType,Region,EmailEngagement,DiscountUsage,Churn
C0860,43,Male,4,181.33,8,5,27,Basic,West,Low,0,0
C0861,51,Female,7,303.87,8,91,91,Basic,North,Medium,1,0
C0862,20,Female,6,515.52,8,68,15,Silver,West,Medium,5,0
C0863,67,Female,8,430.5,4,141,51,Gold,South,Low,0,0
C0864,29,Female,1,297.39,1,81,6,Basic,South,Medium,6,0
C0865,18,Female,7,472.09,2,85,74,Gold,South,High,3,0
C0866,61,Female,7,548.52,4,23,57,Silver,South,Medium,6,0
C0867,22,Female,7,563.08,10,97,15,Basic,North,Medium,3,0
C0868,47,Male,7,289.42,2,178,19,Silver,West,Low,3,0
C0869,47,Male,8,186.78,11,124,77,Silver,West,Medium,3,0
C0870,34,Female,9,556.42,10,37,16,Basic,East,High,9,0
C0871,65,Male,9,146.28,3,30,40,Gold,West,Medium,9,0
C0872,64,Male,2,460.84,9,151,96,Silver,East,Medium,7,0
C0873,40,Female,7,170.25,9,162,27,Basic,East,Medium,1,0
C0874,32,Male,7,294.69,11,117,31,Platinum,South,High,7,0
C0875,54,Female,4,305.78,9,9,92,Basic,North,Low,9,0
C0876,38,Female,9,179.38,7,132,18,Gold,North,Medium,0,0
C0877,31,Female,8,561.34,4,66,58,Basic,West,Low,6,0
C0878,19,Female,1,101.33,1,120,31,Silver,East,Medium,6,0
C0879,28,Female,2,546.9,3,124,25,Basic,South,Medium,5,0
C0880,68,Male,2,541.91,8,161,53,Silver,East,High,3,0
C0881,56,Female,8,258.48,4,160,66,Basic,South,Medium,4,0
C0882,55,Male,1,452.14,10,44,81,Basic,East,Medium,0,0
C0883,51,Female,4,226.4,10,109,76,Basic,West,High,1,0
C0884,55,Female,5,479.39,2,37,48,Gold,West,Medium,9,0
C0885,67,Female,9,380.56,8,67,48,Basic,East,Medium,6,0
C0886,51,Male,7,250.11,7,60,65,Silver,North,Medium,1,0
C0887,35,Female,8,300.12,11,36,46,Gold,South,Medium,7,0
C0888,47,Female,9,444.94,10,49,27,Gold,North,Low,6,0
C0889,32,Female,7,553.05,9,179,77,Basic,North,Medium,9,0
C0890,44,Female,5,165.36,2,107,5,Gold,East,Medium,7,0
C0891,68,Male,5,385.68,5,8,40,Basic,South,Low,3,0
C0892,51,Female,6,226.86,6,178,59,Silver,South,High,0,0
C0893,69,Male,5,500.69,2,41,20,Silver,West,Medium,6,0
C0894,55,Female,9,135.12,2,101,93,Basic,East,High,0,0
C0895,50,Male,3,444.48,10,113,22,Basic,East,Low,6,0
C0896,41,Male,3,187.47,4,109,42,Basic,East,High,8,0
C0897,32,Female,7,398.19,8,166,71,Basic,West,Medium,4,0
C0898,47,Female,7,517.85,11,86,24,Gold,West,High,1,0
C0899,59,Male,6,477.54,5,78,23,Basic,South,Medium,0,0
C0900,68,Female,3,476.47,9,55,17,Gold,West,Medium,7,0
C0901,34,Female,7,358.92,4,110,21,Basic,East,Medium,3,0
C0902,22,Female,5,545.37,3,146,82,Platinum,East,Medium,7,0
C0903,46,Male,7,394.05,10,65,34,Silver,North,High,1,0
C0904,21,Female,2,558.76,8,64,90,Gold,West,Low,2,1
C0905,27,Female,6,373.26,1,140,47,Basic,East,High,2,0
C0906,34,Female,8,352.98,9,118,52,Silver,East,High,3,0
C0907,27,Male,1,211.18,4,169,47,Basic,South,Medium,8,0
C0908,34,Female,4,372.39,11,42,97,Basic,West,Low,8,0
C0909,37,Male,1,170.29,9,117,70,Silver,East,High,4,0
C0910,41,Female,1,534.85,8,50,57,Silver,South,Medium,6,0
C0911,22,Male,8,437.95,3,164,76,Basic,North,High,8,0
C0912,51,Female,7,596.82,3,48,82,Silver,North,High,0,0
C0913,23,Female,1,146.05,9,73,38,Silver,South,Low,1,1
C0914,19,Male,2,220.34,3,136,81,Basic,West,Medium,5,0
C0915,30,Male,4,538.58,4,153,78,Silver,East,Medium,2,0
C0916,60,Male,1,297.63,9,135,76,Silver,West,High,6,0
C0917,60,Female,3,333.15,4,106,75,Basic,South,Low,4,0
C0918,65,Female,8,530.33,11,8,17,Silver,East,Low,9,0
C0919,28,Female,8,360.91,3,110,94,Silver,East,High,7,0
C0920,68,Female,8,196.74,7,31,60,Gold,East,Low,0,0
C0921,64,Male,6,546.02,6,12,63,Basic,West,Medium,8,0
C0922,40,Female,6,115.53,1,127,36,Gold,West,Medium,9,0
C0923,33,Female,5,547.7,10,57,87,Basic,South,Medium,5,0
C0924,48,Female,9,125.26,8,140,83,Basic,North,Medium,4,0
C0925,28,Female,4,432.92,1,27,58,Basic,South,Medium,7,0
C0926,33,Female,7,135.84,4,46,6,Gold,East,High,3,0
C0927,25,Female,1,453.11,6,135,41,Silver,South,Low,8,1
C0928,21,Female,9,116.99,6,61,87,Basic,North,Medium,4,0
C0929,57,Male,7,521.23,7,58,37,Basic,South,Medium,0,0
C0930,21,Female,9,332.97,11,13,5,Basic,North,Medium,7,0
C0931,42,Female,7,146.73,5,100,32,Basic,North,Medium,8,0
C0932,20,Female,2,453.41,5,49,21,Silver,East,Low,4,0
C0933,49,Female,6,344.65,4,35,61,Silver,North,High,4,0
C0934,20,Male,4,195.47,6,94,74,Gold,West,Medium,5,0
C0935,44,Male,3,107.84,7,95,56,Platinum,South,Medium,8,0
C0936,46,Male,2,309.0,10,145,48,Silver,South,Medium,4,0
C0937,49,Male,6,142.81,10,72,88,Basic,West,Low,1,0
C0938,67,Male,8,147.08,1,123,51,Basic,West,Low,2,0
C0939,68,Male,6,233.66,9,10,17,Silver,East,Low,9,0
C0940,36,Female,9,415.23,8,162,80,Basic,South,Low,2,0
C0941,38,Male,5,364.96,7,4,34,Silver,West,Low,8,0
C0942,22,Male,2,134.49,9,125,89,Platinum,East,Medium,7,0
C0943,35,Female,8,584.22,3,29,70,Gold,South,Medium,5,0
C0944,45,Male,9,543.58,10,46,57,Basic,South,Medium,4,0
C0945,59,Female,4,229.61,4,174,22,Basic,West,Low,9,0
C0946,39,Female,6,161.17,7,77,32,Gold,North,High,1,0
C0947,38,Male,8,571.2,6,59,8,Gold,North,High,8,0
C0948,23,Female,9,330.57,2,66,46,Basic,West,High,9,0
C0949,18,Male,5,255.58,2,162,10,Silver,North,Medium,7,0
C0950,22,Male,6,345.18,10,107,13,Silver,South,Medium,4,0
C0951,58,Female,4,486.37,7,86,24,Basic,East,Low,5,0
C0952,29,Female,5,184.19,9,133,98,Basic,East,High,8,0
C0953,43,Male,7,483.75,11,9,42,Gold,West,Low,0,0
C0954,63,Female,9,474.72,9,20,72,Silver,East,Medium,3,0
C0955,51,Female,6,369.67,7,149,54,Basic,West,Medium,4,0
C0956,66,Male,6,532.92,11,127,64,Silver,North,Medium,8,0
C0957,31,Male,8,166.07,8,17,17,Silver,South,Medium,4,0
C0958,43,Female,4,397.74,10,12,98,Gold,North,Low,4,0
C0959,62,Male,3,324.67,3,82,46,Basic,West,Medium,2,0
C0960,44,Male,7,311.15,1,67,72,Platinum,South,High,7,0
C0961,26,Male,5,226.28,7,133,29,Basic,South,High,6,0
C0962,43,Male,2,286.14,8,53,35,Silver,South,Medium,7,0
C0963,64,Male,2,154.08,2,176,16,Silver,North,Medium,3,0
C0964,39,Male,6,225.8,9,147,68,Basic,South,Low,7,0
C0965,64,Male,8,235.98,4,145,83,Basic,North,Low,9,0
C0966,47,Female,1,460.33,10,54,65,Gold,North,Low,3,0
C0967,60,Male,6,124.28,11,68,57,Silver,South,Medium,0,0
C0968,65,Female,2,425.6,9,35,30,Basic,West,Medium,3,0
C0969,34,Female,2,210.7,3,88,65,Basic,South,Medium,4,0
C0970,43,Female,7,140.93,8,169,14,Basic,South,Low,9,0
C0971,53,Male,1,250.4,11,141,16,Basic,North,Medium,7,0
C0972,18,Male,6,212.24,2,161,26,Platinum,South,Low,9,0
C0973,25,Female,7,376.02,3,15,57,Silver,West,Medium,5,0
C0974,66,Male,8,278.69,1,15,25,Platinum,South,Low,9,0
C0975,52,Female,7,583.0,5,31,39,Basic,West,Medium,4,0
C0976,69,Male,6,581.77,4,107,75,Silver,East,Medium,2,0
C0977,32,Male,9,321.86,1,156,86,Basic,East,Low,3,0
C0978,64,Female,3,497.54,10,10,31,Silver,East,Low,5,0
C0979,39,Female,6,106.63,9,57,64,Basic,South,Medium,5,0
C0980,31,Female,4,373.91,6,161,51,Basic,North,Low,5,0
C0981,43,Male,2,471.65,6,7,70,Silver,West,Medium,1,0
C0982,45,Female,1,208.47,11,133,19,Basic,East,Medium,7,0
C0983,40,Male,1,130.59,2,125,28,Silver,West,Medium,7,0
C0984,31,Male,3,177.96,7,119,88,Silver,North,Medium,5,0
C0985,41,Male,4,320.92,9,80,14,Silver,West,High,3,0
C0986,19,Female,2,353.19,6,124,92,Platinum,West,Medium,1,0
C0987,62,Female,1,290.44,11,57,28,Basic,East,High,5,0
C0988,43,Female,4,319.99,8,72,92,Basic,West,Low,5,0
C0989,31,Male,7,335.12,5,168,61,Gold,East,Medium,9,0
C0990,68,Male,6,484.72,2,28,38,Silver,North,Medium,2,0
C0991,24,Female,6,152.62,4,36,45,Basic,East,High,1,0
C0992,20,Male,9,484.48,1,56,44,Gold,West,Low,3,0
C0993,64,Male,2,444.31,1,175,15,Basic,North,Low,7,1
C0994,40,Female,4,470.83,6,116,94,Basic,South,Low,4,0
C0995,63,Female,5,467.23,2,168,5,Basic,South,High,2,0
C0996,60,Female,1,335.3,6,59,34,Basic,North,Medium,4,0
C0997,64,Male,8,205.7,1,171,47,Basic,North,High,8,0
C0998,62,Male,8,368.31,11,123,86,Basic,West,Low,7,0
C0999,35,Male,6,578.99,10,66,30,Basic,South,Low,9,0
C1000,55,Male,5,394.26,3,9,57,Basic,North,Low,6,0
C1001,52,Male,8,105.52,9,134,51,Basic,South,Medium,3,0
C1002,68,Female,3,129.86,2,119,13,Silver,South,High,1,0
C1003,32,Male,3,596.43,8,122,13,Basic,West,Medium,8,0
C1004,42,Male,2,135.97,6,65,5,Basic,North,High,2,0
C1005,54,Male,5,123.02,6,131,75,Basic,East,Low,5,0
C1006,45,Female,3,276.51,7,165,48,Basic,North,Medium,6,0
C1007,27,Female,3,584.66,5,127,63,Basic,South,Medium,2,0
C1008,56,Female,6,259.34,11,87,60,Basic,East,Low,2,0
C1009,34,Male,8,304.94,4,33,55,Silver,East,Low,2,0
C1010,56,Female,2,417.04,6,137,20,Silver,South,Medium,2,0
C1011,39,Female,4,112.06,8,53,42,Gold,East,Low,2,0
C1012,43,Female,7,548.88,4,92,15,Silver,East,High,6,0
C1013,61,Male,1,359.72,5,51,29,Basic,North,High,4,0
C1014,42,Female,1,333.41,7,71,97,Basic,South,Medium,3,0
C1015,34,Male,7,530.36,6,154,87,Silver,West,Medium,5,0
C1016,30,Male,7,576.54,4,144,86,Basic,East,Low,7,0
C1017,37,Female,1,311.71,4,40,63,Basic,South,Low,1,0
C1018,42,Male,1,186.22,10,179,33,Basic,North,High,2,0
C1019,21,Female,4,507.85,4,39,84,Silver,North,Medium,1,0
C1020,27,Male,5,301.63,1,164,44,Gold,North,Medium,6,0
C1021,20,Female,5,567.77,5,121,12,Gold,East,Medium,1,0
C1022,58,Female,4,574.95,8,85,10,Basic,West,Medium,4,0
C1023,62,Female,8,157.41,7,173,49,Basic,North,Low,9,0
C1024,35,Male,7,578.28,5,137,57,Gold,West,Medium,8,0
C1025,64,Female,9,284.14,3,37,98,Silver,South,Medium,7,0
C1026,53,Male,7,423.13,11,87,25,Basic,North,High,7,0
C1027,64,Female,1,117.38,1,129,61,Silver,East,Medium,2,0
C1028,39,Male,7,544.44,7,63,80,Silver,North,Low,0,0
C1029,51,Male,1,420.8,11,43,10,Platinum,East,Low,1,0
C1030,64,Female,7,421.78,3,156,67,Silver,South,Medium,6,0
C1031,25,Female,8,551.09,4,100,10,Basic,West,Medium,3,0
C1032,57,Female,9,354.17,5,159,57,Silver,West,Medium,9,0
C1033,66,Female,3,305.26,8,105,8,Gold,West,Medium,4,0
C1034,61,Female,4,533.06,7,8,13,Silver,North,Medium,0,0
C1035,36,Male,4,471.21,9,162,73,Silver,North,Low,1,0
C1036,59,Female,9,574.49,11,49,78,Platinum,South,Medium,8,0
C1037,58,Female,7,570.06,3,96,76,Silver,West,Low,5,0
C1038,54,Male,3,291.16,11,123,91,Basic,South,Medium,6,0
C1039,23,Female,5,323.49,10,47,8,Silver,East,Medium,4,0
C1040,69,Female,7,227.99,1,25,62,Silver,North,Low,8,0
C1041,43,Male,8,430.32,1,131,41,Basic,West,Medium,9,0
C1042,51,Female,1,282.27,10,173,75,Basic,North,Medium,4,0
C1043,62,Female,2,493.05,1,114,10,Silver,West,Low,5,1
C1044,23,Female,7,160.78,2,99,55,Basic,West,High,9,0
C1045,54,Male,2,158.2,2,96,83,Silver,North,Low,8,1
C1046,50,Female,7,202.23,7,34,54,Basic,North,Medium,4,0
C1047,39,Male,9,142.15,9,109,18,Platinum,South,Low,3,0
C1048,38,Female,2,410.02,8,92,15,Basic,North,High,4,0
C1049,23,Male,7,173.68,4,8,14,Basic,North,High,4,0
C1050,23,Female,4,179.98,2,155,65,Basic,North,Medium,4,0
C1051,65,Male,2,107.11,3,63,85,Silver,East,High,0,0
C1052,21,Male,7,491.05,10,82,17,Basic,East,Low,4,0
C1053,47,Male,5,506.15,5,25,38,Basic,East,Low,4,0
C1054,28,Male,1,181.01,9,176,64,Silver,South,Medium,0,0
C1055,47,Male,5,469.76,8,129,55,Basic,South,Medium,3,0
C1056,48,Male,3,316.77,3,8,9,Silver,West,Medium,7,0
C1057,41,Female,7,219.8,9,124,78,Silver,South,Medium,3,0
C1058,26,Female,6,410.69,10,149,36,Silver,North,Medium,6,0
C1059,20,Male,8,189.24,3,98,16,Basic,West,Medium,5,0
C1060,68,Male,5,478.44,10,101,56,Silver,North,Low,4,0
C1061,48,Male,2,123.81,8,111,17,Basic,West,Low,8,1
C1062,57,Male,9,579.57,1,157,89,Gold,South,Medium,7,0
C1063,54,Female,8,135.94,4,158,58,Gold,East,Medium,4,0
C1064,53,Male,6,389.72,4,3,58,Basic,North,Low,9,0
C1065,41,Female,7,551.1,6,135,45,Basic,West,Low,6,0
C1066,48,Female,9,105.95,2,100,52,Basic,East,Medium,8,0
C1067,23,Male,7,349.26,7,11,55,Basic,North,Low,6,0
C1068,19,Male,3,275.0,5,160,51,Silver,North,High,2,0
C1069,37,Female,6,390.17,10,59,54,Silver,East,Low,9,0
C1070,45,Female,7,212.73,6,140,80,Basic,South,Low,4,0
C1071,28,Male,2,132.45,11,79,50,Silver,East,Medium,8,0
C1072,21,Male,3,412.97,6,38,42,Gold,South,High,8,0
C1073,32,Male,4,308.42,11,122,96,Silver,West,Medium,7,0
C1074,23,Female,6,411.24,6,152,17,Basic,South,Medium,5,0
C1075,66,Female,1,205.27,10,65,80,Silver,West,Low,6,1
C1076,47,Male,9,269.37,8,146,26,Silver,West,Medium,6,0
C1077,55,Female,5,380.84,10,46,6,Gold,West,Low,0,0
C1078,68,Female,7,396.56,4,125,97,Basic,West,Medium,7,0
C1079,19,Male,9,286.16,10,56,81,Basic,North,Medium,5,0
C1080,32,Male,9,240.03,8,7,17,Silver,West,Low,6,0
C1081,28,Female,1,236.85,9,105,61,Silver,North,Low,9,1
C1082,25,Female,1,187.35,4,40,38,Silver,North,Medium,9,0
C1083,43,Male,3,262.7,1,159,23,Basic,West,Medium,1,0
C1084,68,Male,6,199.72,3,97,13,Silver,South,High,6,0
C1085,62,Male,2,416.91,1,52,99,Basic,South,Low,7,0
C1086,61,Male,1,384.53,7,31,37,Basic,East,Medium,4,0
C1087,22,Male,1,291.29,1,162,31,Silver,North,Low,0,1
C1088,23,Female,5,262.92,11,7,49,Basic,North,Low,5,0
C1089,43,Female,4,218.81,4,144,6,Basic,South,Medium,2,0
C1090,21,Female,1,367.73,1,150,83,Silver,North,High,4,0
C1091,36,Female,4,559.45,2,91,87,Silver,South,Medium,8,0
C1092,37,Male,3,442.85,11,17,61,Basic,East,Medium,6,0
C1093,50,Male,2,472.21,1,125,99,Silver,West,Medium,7,0
C1094,37,Male,9,517.19,5,4,61,Basic,West,Medium,5,0
C1095,66,Female,1,275.82,7,122,20,Basic,West,High,8,0
C1096,29,Female,7,131.44,3,99,83,Basic,East,Medium,2,0
C1097,64,Female,4,411.28,8,163,10,Basic,North,Medium,0,0
C1098,18,Male,5,194.34,5,172,18,Platinum,East,Medium,9,0
C1099,43,Female,5,384.52,5,143,31,Basic,North,Medium,3,0
C1100,31,Male,1,469.76,5,61,42,Silver,North,High,7,0
C1101,55,Male,6,491.82,8,172,23,Gold,West,Low,5,0
C1102,54,Male,9,250.92,2,21,41,Platinum,South,Low,6,0
C1103,28,Male,2,356.22,2,77,8,Basic,South,High,8,0
C1104,53,Male,7,410.48,8,47,62,Gold,West,High,1,0
C1105,30,Male,6,509.74,9,75,94,Platinum,North,Medium,6,0
C1106,60,Female,5,480.69,11,49,13,Basic,East,Low,3,0
C1107,20,Male,4,593.99,10,27,44,Basic,West,Medium,6,0
C1108,50,Male,4,104.04,10,31,19,Basic,West,Low,7,0
C1109,23,Female,6,318.74,2,172,8,Silver,East,Medium,1,0
C1110,67,Male,4,228.02,4,32,94,Silver,North,Low,6,0
C1111,27,Female,5,159.95,8,158,56,Basic,West,Medium,7,0
C1112,22,Female,6,555.76,2,18,22,Silver,West,Low,0,0
C1113,40,Female,5,598.98,4,125,57,Basic,North,Medium,9,0
C1114,27,Male,7,190.3,10,63,63,Gold,East,Medium,4,0
C1115,61,Male,9,119.22,1,128,58,Basic,East,Medium,8,0
C1116,19,Female,7,237.53,2,16,45,Silver,South,Low,1,0
C1117,30,Male,7,517.43,7,163,64,Basic,South,Low,5,0
C1118,57,Male,4,246.95,1,137,97,Basic,East,Medium,1,0
C1119,19,Female,1,128.45,1,62,92,Silver,South,Medium,2,0
C1120,37,Female,8,126.25,2,39,8,Basic,South,Medium,5,0
C1121,18,Male,4,313.71,4,179,89,Silver,North,Low,4,0
C1122,54,Female,1,565.91,7,115,43,Gold,West,Medium,3,0
C1123,26,Female,5,242.96,4,138,11,Basic,South,Medium,6,0
C1124,34,Female,8,313.58,5,140,27,Gold,South,Medium,2,0
C1125,26,Male,4,150.97,4,72,89,Basic,North,Medium,9,0
C1126,28,Male,8,346.79,4,62,67,Basic,East,High,6,0
C1127,32,Male,8,448.27,9,131,69,Basic,South,Medium,8,0
C1128,41,Female,3,235.58,6,83,45,Platinum,West,High,1,0
C1129,55,Male,9,248.36,3,123,93,Basic,South,Medium,4,0
C1130,52,Female,3,520.99,6,139,99,Gold,West,High,0,0
C1131,47,Male,1,105.18,7,136,48,Platinum,East,Low,6,1
C1132,48,Male,2,418.24,7,109,49,Basic,South,Medium,1,0
C1133,66,Female,6,296.94,8,122,73,Silver,West,Medium,4,0
C1134,22,Male,2,249.19,4,151,99,Silver,West,Medium,0,0
C1135,61,Female,6,428.8,1,119,55,Basic,West,Medium,0,0
C1136,67,Male,1,517.33,6,138,69,Basic,East,Low,3,1
C1137,31,Male,1,379.2,8,18,58,Basic,West,High,6,0
C1138,28,Female,5,115.55,5,76,60,Silver,North,Medium,6,0
C1139,26,Female,9,330.7,3,167,98,Silver,East,High,7,0
C1140,51,Female,8,331.38,4,154,86,Basic,West,Low,8,0
C1141,29,Male,3,371.9,8,11,76,Basic,East,Medium,3,0
C1142,52,Male,3,435.48,6,138,94,Gold,East,Medium,1,0
C1143,52,Male,1,109.66,5,131,44,Basic,North,Medium,9,0
C1144,18,Female,3,351.01,9,62,62,Silver,West,Medium,9,0
C1145,57,Female,1,394.15,10,71,19,Basic,East,Low,2,1
C1146,39,Female,8,271.68,3,61,23,Gold,East,Low,8,0
C1147,46,Male,1,434.18,7,132,14,Gold,West,Medium,7,0
C1148,25,Male,5,214.09,9,61,92,Basic,North,Medium,5,0
C1149,28,Female,9,258.69,11,136,20,Basic,South,Low,2,0
C1150,58,Male,7,581.38,11,102,47,Basic,West,Medium,9,0
C1151,54,Female,4,274.04,4,13,35,Basic,South,Medium,7,0
C1152,31,Male,9,273.25,10,12,20,Basic,West,Medium,1,0
C1153,47,Male,9,397.84,10,35,84,Silver,West,Low,3,0
C1154,52,Female,2,585.49,3,51,32,Basic,East,Medium,3,0
C1155,38,Male,6,591.54,1,43,66,Basic,West,Medium,8,0
C1156,54,Male,4,389.83,9,111,24,Silver,North,Medium,7,0
C1157,22,Female,8,100.54,1,66,39,Silver,North,High,6,0
C1158,36,Female,7,550.33,2,15,63,Basic,West,Medium,3,0
C1159,31,Male,7,385.12,9,177,13,Silver,East,Medium,6,0
C1160,43,Female,9,283.0,5,162,14,Silver,East,Low,0,0
C1161,21,Male,5,514.6,4,39,49,Silver,South,Medium,7,0
C1162,42,Female,6,299.92,9,26,86,Basic,West,Low,7,0
C1163,62,Male,1,117.02,9,112,19,Basic,South,High,8,0
C1164,59,Male,6,510.54,2,176,34,Gold,East,High,8,0
C1165,42,Female,2,372.93,3,51,52,Gold,North,Medium,0,0
C1166,35,Male,6,269.07,3,111,44,Silver,East,Low,9,0
C1167,57,Male,9,225.45,5,132,95,Basic,North,Low,6,0
C1168,25,Female,8,396.9,3,98,95,Silver,South,High,0,0
C1169,56,Female,9,204.02,10,155,87,Gold,East,High,5,0
C1170,57,Male,8,261.93,6,119,78,Basic,North,Low,4,0
C1171,31,Female,3,418.27,2,170,48,Basic,South,Medium,1,0
C1172,49,Female,8,540.77,6,56,50,Silver,East,Low,2,0
C1173,68,Male,6,366.45,6,69,10,Gold,West,Low,7,0
C1174,55,Male,6,479.55,2,146,28,Basic,East,Low,1,0
C1175,50,Female,6,481.53,6,4,77,Silver,South,Medium,3,0
C1176,40,Female,3,432.18,6,129,95,Silver,East,Low,2,0
C1177,32,Female,1,222.92,6,50,11,Silver,South,Low,6,0
C1178,50,Male,4,533.39,5,84,10,Silver,North,Low,7,0
C1179,42,Male,6,318.14,7,70,37,Silver,East,Medium,3,0
C1180,34,Male,2,122.11,5,148,89,Basic,South,Medium,5,0
C1181,50,Male,7,222.31,11,20,42,Basic,South,Low,2,0
C1182,64,Male,7,482.77,1,174,48,Silver,West,High,6,0
C1183,19,Male,4,134.57,9,27,21,Basic,North,Low,7,0
C1184,31,Male,4,173.68,3,26,35,Silver,West,Medium,6,0
C1185,57,Female,1,447.11,2,160,41,Silver,West,Low,3,1
C1186,57,Female,2,546.3,10,10,15,Basic,East,Low,9,0
C1187,68,Male,9,416.87,6,82,96,Silver,South,Low,8,0
C1188,56,Male,8,211.15,8,105,9,Silver,South,Low,9,0
C1189,68,Male,8,126.71,2,140,68,Basic,South,High,7,0
C1190,23,Female,9,407.56,4,88,80,Basic,East,Medium,5,0
C1191,23,Male,7,123.7,2,24,7,Gold,East,High,1,0
C1192,20,Female,9,406.36,9,117,60,Basic,North,Low,9,0
C1193,24,Female,2,212.79,10,179,67,Silver,West,Medium,6,0
C1194,68,Female,6,552.33,2,166,42,Basic,North,Low,8,0
C1195,25,Female,3,337.55,10,46,58,Basic,North,Medium,8,0
C1196,59,Female,6,211.97,2,136,6,Basic,East,High,8,0
C1197,69,Male,3,526.57,5,55,94,Silver,South,High,8,0
C1198,32,Male,8,227.02,5,78,6,Basic,East,Low,5,0
C1199,64,Female,4,253.3,7,159,16,Basic,East,Medium,0,0
C1200,46,Male,6,517.14,1,88,44,Silver,East,Low,5,0
C1201,50,Female,9,254.4,2,16,6,Basic,North,Low,4,0
C1202,69,Female,2,305.08,11,148,84,Basic,South,Low,6,1
C1203,47,Male,2,273.83,11,38,98,Basic,East,Low,7,0
C1204,56,Male,7,158.2,6,111,61,Basic,North,Medium,0,0
C1205,44,Male,2,119.45,2,15,51,Silver,East,Medium,9,0
C1206,53,Male,2,462.27,4,78,40,Basic,West,Medium,3,0
C1207,46,Male,4,422.57,10,76,8,Basic,South,Medium,3,0
C1208,55,Female,9,241.18,6,162,79,Gold,North,Low,0,0
C1209,50,Male,8,247.8,7,72,28,Gold,West,Low,3,0
C1210,54,Male,2,572.5,10,19,86,Gold,East,Medium,6,0
C1211,44,Male,8,593.84,5,120,95,Gold,West,Medium,5,0
C1212,50,Female,4,336.72,8,63,66,Silver,West,Low,3,0
C1213,21,Male,2,501.23,6,105,6,Silver,North,High,1,0
C1214,39,Female,7,468.34,5,32,19,Silver,South,Medium,6,0
C1215,19,Male,6,248.66,4,110,79,Silver,South,Medium,7,0
C1216,27,Male,5,129.28,6,165,95,Silver,North,Medium,8,0
C1217,22,Female,1,171.28,6,7,53,Basic,East,Medium,8,0
C1218,27,Male,2,519.15,6,176,91,Gold,West,Medium,3,0
C1219,50,Male,8,465.61,1,139,39,Silver,South,Medium,2,0
C1220,55,Female,1,432.17,6,87,98,Gold,South,Low,4,1
C1221,30,Male,3,165.32,1,31,51,Basic,West,High,5,0
C1222,48,Female,2,419.97,5,172,28,Basic,East,Medium,7,0
C1223,64,Female,5,486.08,7,45,87,Basic,West,Medium,2,0
C1224,53,Female,4,530.3,1,56,64,Silver,North,Medium,5,0
C1225,62,Female,7,106.62,1,160,97,Basic,North,Medium,4,0
C1226,41,Female,5,442.24,6,149,81,Basic,East,Low,6,0
C1227,69,Male,8,109.55,7,31,52,Basic,South,Medium,8,0
C1228,32,Male,4,453.44,6,1,27,Basic,South,Medium,6,0
C1229,46,Male,6,417.81,5,139,16,Silver,East,Low,5,0
C1230,25,Female,4,174.17,6,93,45,Gold,East,Low,8,0
C1231,22,Female,2,483.06,3,68,33,Basic,North,High,9,0
C1232,46,Female,1,134.17,9,36,74,Silver,North,High,3,0
C1233,64,Female,1,513.2,5,79,55,Basic,East,Medium,0,0
C1234,21,Male,8,230.96,2,67,27,Basic,South,Medium,7,0
C1235,29,Male,4,444.43,10,51,35,Silver,West,High,5,0
C1236,62,Female,5,561.84,10,157,25,Silver,West,Low,5,0
C1237,19,Female,8,269.91,7,130,28,Gold,West,Medium,4,0
C1238,44,Male,7,351.45,3,6,76,Basic,North,Medium,9,0
C1239,48,Female,8,331.56,1,159,13,Gold,East,Medium,2,0
C1240,68,Female,8,178.81,3,54,26,Basic,South,Low,5,0
C1241,68,Female,6,395.16,9,88,8,Basic,North,Medium,0,0
C1242,53,Male,2,471.5,5,168,81,Basic,East,Medium,6,0
C1243,53,Male,6,558.44,7,145,7,Silver,East,High,5,0
C1244,43,Female,1,525.4,3,5,32,Basic,West,Medium,4,0
C1245,60,Male,1,355.01,4,2,94,Basic,West,High,2,0
C1246,44,Female,3,459.51,1,58,19,Silver,South,High,7,0
C1247,22,Female,3,500.39,3,12,12,Basic,South,Medium,3,0
C1248,37,Male,5,346.74,7,5,52,Basic,West,Low,8,0
C1249,28,Female,1,157.71,4,106,92,Basic,West,Medium,8,0
C1250,27,Female,6,318.97,2,169,56,Basic,East,High,4,0
C1251,57,Male,7,521.24,5,148,59,Silver,South,Low,6,0
C1252,55,Female,3,398.32,5,129,41,Silver,East,Medium,5,0
C1253,23,Female,4,462.23,2,56,8,Basic,South,Low,5,0
C1254,25,Female,3,192.63,11,70,59,Basic,South,Low,3,0
C1255,40,Male,1,582.17,6,56,16,Gold,North,Medium,9,0
C1256,64,Female,8,302.04,10,54,23,Silver,West,Medium,7,0
C1257,43,Male,2,426.82,4,139,83,Silver,North,Medium,9,0
C1258,63,Female,1,109.44,1,3,61,Basic,South,High,2,0
C1259,60,Female,8,163.66,3,95,98,Basic,East,Low,4,0
C1260,29,Female,7,491.02,9,28,41,Platinum,South,Low,0,0
C1261,43,Female,7,583.98,10,111,80,Silver,North,High,0,0
C1262,30,Male,4,260.03,7,107,87,Basic,West,Medium,8,0
C1263,57,Male,9,118.59,6,120,11,Basic,East,Low,3,0
